TOOLTIP_STORED_EXP	Experienta stocata: %s
STAT_TOOLTIP_TAB_EMOTICON	Emotii
STAT_TOOLTIP_TAB_QUEST	Misiuni
STAT_TOOLTIP_TAB_SKILL	Abilitati
MAP_NAME_25	Tara inghetata
MAP_NAME_26	Satul inghetat
CUBE_CATEGORY43	Efecte arme
CUBE_CATEGORY44	Efecte armuri
CUBE_CATEGORY45	Pet-uri
CUBE_CATEGORY46	Mount-uri
CUBE_CATEGORY47	Costume esarfa
CUBE_CATEGORY48	Frizuri
CUBE_CATEGORY49	Costume armura
CUBE_CATEGORY50	Costume arma
REFINE_CURRENT_PERCENTAGE	[i] Procent actual: %d%%
TOOLTIP_AFFECT_VOTEFORBONUS	Voteaza pentru bonus
LOGIN_FAILURE_UPDATE	Trebuie sa actualizezi jocul.Apasa OK pentru a porni patcherul!
MULTIPLE_BUY_PRICE	Pret: %s Yang
MULTIPLE_BUYS	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Pentru a utiliza cumparaturi multiple.
GAME_NOT_LOADED	Jocul se incarca, reincearca in câteva secunde.
EMPTY_SLOT	%d. slot liber
PET_CANNOT_BE_EVOLVED	inca nu poti evolua acest pet.
SKILL_SELECT_1A	Corporal
SKILL_SELECT_1B	Mental
SKILL_SELECT_2A	Corp la Corp
SKILL_SELECT_2B	Arc
SKILL_SELECT_3A	Arme Magice
SKILL_SELECT_3B	Magie Neagra
SKILL_SELECT_4A	Dragon
SKILL_SELECT_4B	Vindecare
SKILL_SELECT_DIALOG1	Trebuie sa alegi o doctrina!
SKILL_SELECT_DIALOG2	Doresti sa inveti stilul: %s?
NEW_DETAILS_1	Rezistenta la Semi-Oameni
NEW_DETAILS_1_TOOLTIP	Rezistenta la Semi-Oameni: Scade daunele primite de la Semi-Oameni.
NEW_DETAILS_2	Aparare Talisman
NEW_DETAILS_2_TOOLTIP	Aparare Talisman: Rezista la bonusurile talismanelor.
NEW_DETAILS_5	Tare impotriva monstrilor Zodiac
NEW_DETAILS_5_TOOLTIP	Tare impotriva monstrilor Zodiac: creste daunele facute pe monstrii Zodiac.
NEW_DETAILS_6	Tare impotriva Metinelor
NEW_DETAILS_6_TOOLTIP	Tare impotriva Metinelor: creste daunele facute pe Metine.
NEW_DETAILS_7	Tare impotriva sefilor
NEW_DETAILS_7_TOOLTIP	Tare impotriva sefilor: creste daunele facute pe sefi.
NEW_DETAILS_8	Rezistenta la Monstri
NEW_DETAILS_8_TOOLTIP	Rezistenta la Monstri: Scade daunele primite de la Monstri.
NEW_DETAILS_9	Posibilitatea de a avea daunce critice (PVM)
NEW_DETAILS_10	intrerupe apararea sabie
NEW_DETAILS_10_TOOLTIP	intrerupe apararea sabie: scade apararea rezistenta la sabie a inamicului.
NEW_DETAILS_11	intrerupe apararea armei de doua-mâini
NEW_DETAILS_11_TOOLTIP	intrerupe apararea armei de doua-mâini: scade apararea rezistenta armei de doua-mâini a inamicului.
NEW_DETAILS_12	intrerupe apararea pumnale
NEW_DETAILS_12_TOOLTIP	intrerupe apararea pumnale: scade apararea rezistenta la pumnale a inamicului.
NEW_DETAILS_13	intrerupe apararea sageti
NEW_DETAILS_13_TOOLTIP	intrerupe apararea sageti: scade apararea rezistenta la sageti a inamicului.
NEW_DETAILS_14	intrerupe apararea evantai
NEW_DETAILS_14_TOOLTIP	intrerupe apararea evantai: scade apararea rezistenta la evantai a inamicului.
NEW_DETAILS_15	intrerupe apararea clopot
NEW_DETAILS_15_TOOLTIP	intrerupe apararea clopot: scade apararea rezistenta la clopot a inamicului.
NEW_DETAILS_16	Tare impotriva monstrilor Rune
NEW_DETAILS_16_TOOLTIP	Tare impotriva monstrilor Rune: creste daunele facute pe monstrii Rune.
NEW_DETAILS_17	Valorea atacului
NEW_DETAILS_17_TOOLTIP	Creste valoarea atacului
PET_MISSING1_1	Pui
PET_MISSING1_2	Salbatic
PET_MISSING1_3	Curajos
PET_MISSING1_4	Eroic
COOLDOWN_IN_PROGRESS	Asteapta!
PERMANENT_EFFECT	Permanent
TARGET_INFO_RACE_RUNE	Rune
CUBE_LOSE_BONUSES_ALERT	Continuând vei pierde bonusurile, esti sigur?
ACCE_FAILURE_CLEAN	Nici un bonus nu poate fi sters.
ACCE_DO_YOU_CLEAN	Vrei sa stergi toate bonusurile disponibile?
ACCE_REFINE_COST	Pret absorbtie: %s
ACCE_ABSORB_CHANCE	Rata de absorbire: %d%%
ACCE_ABSORB_CHANCE2	Rata de absorbire: %d%% ~ %d%%
MAP_SAVEPOINT_NAME_0	Necunoscuta
MAP_SAVEPOINT_NAME_214	Sate
MAP_SAVEPOINT_NAME_70	Tara Gigantilor
MAP_SAVEPOINT_NAME_69	Câmpul Serpilor
MAP_SAVEPOINT_NAME_72	Grota Exilului 1
MAP_SAVEPOINT_NAME_73	Grota Exilului 2
MAP_SAVEPOINT_NAME_67	Lungsam
MAP_SAVEPOINT_NAME_68	Padurea Rosie
MAP_SAVEPOINT_NAME_64	Valea Seungryong
MAP_SAVEPOINT_NAME_65	Templul Hwang
MAP_SAVEPOINT_NAME_62	Doyyumhwaji
MAP_SAVEPOINT_NAME_104	Subteran 1
MAP_SAVEPOINT_NAME_71	Subteran 2
MAP_SAVEPOINT_NAME_217	Subteran 3
MAP_SAVEPOINT_NAME_219	Lobby Normal
MAP_SAVEPOINT_NAME_215	Lobby Special
MAP_SAVEPOINT_NAME_61	Muntele Sohan
MAP_SAVEPOINT_NAME_63	Desertul Yongbi
MAP_SAVEPOINT_NAME_303	Baia Nefrite
MAP_SAVEPOINT_NAME_304	Muntii Fulgerului
MAP_SAVEPOINT_NAME_302	Stâncile Gautama
MAP_SAVEPOINT_NAME_301	Terenul Dragonilor
MAP_SAVEPOINT_NAME_210	Padure
SAVEPOINT_TELEPORTDIALOG	Vrei sa te teleportezi pe aceea pozitie?
SAVEPOINT_EMPTYITDIALOG	Vrei sa resetezi acest slot?
SAVEPOINT_SAVEDIALOG	Vrei sa salvezi aceasta pozitie?
SAVEPOINT_EMPTY	[ Liber ]
SAVEPOINT_SAVE	Salveaza
SAVEPOINT_EMPTYIT	Elibereaza
SAVEPOINT_GO	Teleporteaza-te
ATLASINFO_QUESTIONDIALOG1	Vrei sa te teleportezi la %s?
ATLASINFO_QUESTIONDIALOG2	Pret: 1.000.000 Yang
WIKI_SUBCATEGORY_SUPPORT	SUPORT-URI
WIKI_CATEGORY_COMPANY	COMPANIE
WIKI_SUBCATEGORY_FASTKEY	HOTKEYS
WIKI_SUBCATEGORY_RUNES	RUNE
WIKI_SUBCATEGORY_D_ORCMAZE	TEMPLUL ORCILOR
WIKI_SUBCATEGORY_D_MELMA	REFUGIUL REGINEI MELMA
WIKI_SUBCATEGORY_D_ARACNIDI	CAMERA ARACHNIDELOR
WIKI_SUBCATEGORY_D_DEVILSTOWER	TURNUL DEMONILOR
WIKI_SUBCATEGORY_D_RUNE	RUNE DUNGEON
WIKI_SUBCATEGORY_D_CATACOMBE	CATACOMBELE DIAVOLULUI
WIKI_SUBCATEGORY_D_BERAN	BERAN-SETAOU
WIKI_SUBCATEGORY_D_MELEY	REFUGIUL LUI MELEY
WIKI_SUBCATEGORY_D_NEMERE	TURNUL LUI NEMERE
WIKI_SUBCATEGORY_D_RAZADOR	CETATEA LUI RAZADOR
WIKI_SUBCATEGORY_D_OCHAO	TEMPLUL LUI OCHAO
WIKI_SUBCATEGORY_D_JOTUN	REFUGIUL LUI JOTUN THRYM
WIKI_SUBCATEGORY_D_NAVE	APÂRAREA NAVEI
WIKI_SUBCATEGORY_D_PIRAMIDE	PIRAMIDELE LUI TUTANKHAMUN
MASK_HP	PV: %s / %s
WIKI_SUBCATEGORY_EARRINGS	CERCEI
WIKI_SUBCATEGORY_BRACELET	BRATARI
WIKI_SUBCATEGORY_NECKLACE	COLIERE
WIKI_SUBCATEGORY_SHOES	PAPUCI
WIKI_CATEGORY_CHESTS	CUFERE
WIKI_SUBCATEGORY_CHESTS	ALE SEFILOR
WIKI_SUBCATEGORY_DUNGEONS	DIN DUNGEON-URI
WIKI_SUBCATEGORY_EVENT_CHESTS	DE LA EVENTE
WIKI_SUBCATEGORY_ALTERNATIVE_CHESTS	ALTERNATIVE
WIKI_CATEGORY_BOSSES	SEFI
WIKI_SUBCATEGORY_LV1_75	DE NIVEL 1-75
WIKI_SUBCATEGORY_LV76_100	DE NIVEL 76-100
WIKI_SUBCATEGORY_LV100	DE NIVEL 100+
WIKI_CATEGORY_MONSTERS	MONSTRI
WIKI_CATEGORY_METINSTONES	PIETRE METIN
WIKI_CATEGORY_SYSTEMS	SISTEME
WIKI_SUBCATEGORY_REACTION_EVENT	Eveniment Reactie
WIKI_SUBCATEGORY_SHAMY	SUPORT BUFF
WIKI_SUBCATEGORY_DRAGONALCHEMY	ALCHIMIE
WIKI_SUBCATEGORY_SHOULDER_SASH	ESARFE
WIKI_SUBCATEGORY_EPIC_SYSTEM	EPICIZARE
WIKI_SUBCATEGORY_COSTUME_SASH	COSTUME ESARFE
WIKI_SUBCATEGORY_COSTUMES	COSTUME
WIKI_SUBCATEGORY_BATTLEPASS	BATTLE PASS
WIKI_SUBCATEGORY_BOOST	SKILL-URI BOOST
WIKI_SUBCATEGORY_PASSIVE	SKILL-URI PASIVE
WIKI_SUBCATEGORY_BIOLOGIST	BIOLOG
WIKI_SUBCATEGORY_ANTIFARM	ANTI MULTI-FARM
WIKI_SUBCATEGORY_FREEZE	iNGHEATA BONUSURI
WIKI_SUBCATEGORY_GAYA	GAYA
WIKI_SUBCATEGORY_GUILD	BRESLE
WIKI_SUBCATEGORY_OFFLINESHOP	MAGAZINE OFFLINE
WIKI_SUBCATEGORY_SKILL_COLOR	CULOARE SKILL-URI
WIKI_CATEGORY_DUNGEONS	DUNGEON-URI
WIKI_SUBCATEGORY_HAIRSTYLES	FRIZURI
WIKI_SUBCATEGORY_PET	PET-URI
WIKI_SUBCATEGORY_PET_COSTUMES	COSTUME PET-URI
WIKI_SUBCATEGORY_ANIME	SUFLETE
WIKI_SUBCATEGORY_MOUNT	MOUNT-URI
WIKI_SUBCATEGORY_MOUNT_COSTUMES	COSTUME MOUNT-URI
WIKI_CATEGORY_COSTUMES	COSTUME
WIKI_CATEGORY_EVENTS	EVENTE
WIKI_CATEGORY_GUIDES	GHIDURI
WIKI_REFINEINFO_YANG_COSTS	PreT Yang
WIKI_REFINEINFO_UPGRADE_COSTS	Top pret
WIKI_REFINEINFO_ITEM_LEVEL	Nivel %i
WIKI_CHESTINFO_ORIGIN	Origine
WIKI_CHESTINFO_CONTENTOF	Continutul lui %s
WIKI_CHESTINFO_COMMON_DROP	Drop comun
WIKI_MONSTERINFO_DROPLISTOF	Drop-ul lui %s
WIKI_MONSTERINFO_LEVEL	Nivel: %i
WIKI_MONSTERINFO_IMMUNE_TO	Imun la: %s
WIKI_MONSTERINFO_DMG_HP	Min. Daune%s | Max. daune:%s | Max. PV: %s
WIKI_MONSTERINFO_GOLD_EXP	Min. Yang: %s | Max. Yang: %s | EXP: %s
WIKI_MONSTERINFO_RESISTANCES	Aparari:
WIKI_MONSTERINFO_IMMUNE_NOTHING	nimic
WIKI_MONSTERINFO_STATISTICSOF	statisticile lui %s
WIKI_ITEMINFO_OPTAINEDFROM	Disponibil la
WIKI_ITEMINFO_REFINEINFO	imbunatatire %s
WIKI_TITLENAME	Wiki
WIKI_SUBCATEGORY_BELTS	CURELE
WIKI_SUBCATEGORY_TALISMANS	TALISMANE
WIKI_SUBCATEGORY_STOLE	ESARFE
WIKI_SUBCATEGORY_STOLE_COSTUMES	COSTUME ESARFE
WIKI_SUBCATEGORY_WEAPONS_EFFECT	EFECTE ARME
WIKI_SUBCATEGORY_ARMORS_EFFECT	EFECTE ARMURI
WIKI_SUBCATEGORY_TRANSLATE	TRADUCERI
WIKI_SUBCATEGORY_LV76_105	LV. 76-105
WIKI_SUBCATEGORY_SHIELD	SCUT-URI
WIKI_SUBCATEGORY_HELMET	COIF-URI
WIKI_SUBCATEGORY_ARMOR	ARMURI
WIKI_SUBCATEGORY_WEAPONS	ARME
WIKI_CATEGORY_EQUIPEMENT	ECHIPAMENT
WIKI_SEARCH_OVERLAY_TEXT	CAUTA
WIKI_EXACT_SEARCH_TEXT	Cautare exacta
WIKI_MONSTERINFO_DAMAGE	Daune: %s-%s
WIKI_MONSTERINFO_DEFENSE	Aparare: %s
WIKI_MONSTERINFO_EXP	Experienta: %s
WIKI_MONSTERINFO_MAINRACE	Rasa: %s
WIKI_MONSTERINFO_MAX_HP	Max. PV: %s
WIKI_MONSTERINFO_NO_RACE	Nu
WIKI_MONSTERINFO_RACE_ANIMAL	Animale
WIKI_MONSTERINFO_RACE_UNDEAD	Vampiri
WIKI_MONSTERINFO_RACE_DEVIL	Diavol
WIKI_MONSTERINFO_RACE_HUMAN	Semi-oameni
WIKI_MONSTERINFO_RACE_ORC	Orci
WIKI_MONSTERINFO_RACE_MILGYO	Esoterici
WIKI_MONSTERINFO_RACE_TREE	Copaci
WIKI_MONSTERINFO_RACE_ELEC	Fulger
WIKI_MONSTERINFO_RACE_FIRE	Foc
WIKI_MONSTERINFO_RACE_ICE	Gheata
WIKI_MONSTERINFO_RACE_WIND	Vânt
WIKI_MONSTERINFO_RACE_EARTH	Pamânt
WIKI_MONSTERINFO_RACE_DARK	intuneric
WIKI_MONSTERINFO_RACE_METIN	Pietra Metin
WIKI_MONSTERINFO_STONE_NAME	Pietra Spirituala
WIKI_MONSTERINFO_SUBRACE	Sub-rasa: %s
WIKI_MONSTERINFO_IMMUNE_STUN	Stun
WIKI_MONSTERINFO_IMMUNE_SLOW	incetinire
WIKI_MONSTERINFO_IMMUNE_CURSE	Blestem
WIKI_MONSTERINFO_IMMUNE_POISON	Otrava
WIKI_MONSTERINFO_IMMUNE_TERROR	Teroare
IDRA_TEXT1	Ucidel pe Idra
IDRA_TEXT2	Distruge comoara
IDRA_TEXT3	Rezista pt. %d : %d
IDRA_TEXT4	Distruge ouale
IDRA_TEXT5	ASteapta %d : %d
IDRA_TEXT6	Repara catârgul
IDRA_TEXT7	A-ti eliberat nava
IDRA_TEXT8	Ucide regina
IDRA_TEXT9	-:-
IDRA_TEXT10	%d
SUPPORTINCUBATRICE_DIALOG1	Numele introdus nu este corect!
GAMEMOD_DIALOG1	Pui
GAMEMOD_DIALOG2	Salbatic
GAMEMOD_DIALOG3	Curajos
GAMEMOD_DIALOG4	Eroic
GAMEMOD_DIALOG5	%s (z) si %s (o)
WHISPERMANAGER_DIALOG1	Engleza
WHISPERMANAGER_DIALOG2	Româna
WHISPERMANAGER_DIALOG3	Italiana
WHISPERMANAGER_DIALOG4	Turca
WHISPERMANAGER_DIALOG5	Germana
WHISPERMANAGER_DIALOG6	Poloneza
WHISPERMANAGER_DIALOG7	Portugheza
WHISPERMANAGER_DIALOG8	Spaniola
WHISPERMANAGER_DIALOG9	Ceha
WHISPERMANAGER_DIALOG10	Ungara
WHISPERMANAGER_DIALOG11	Toate
PETSYSTEM_DIALOG1	Experienta : %d of %d
PETSYSTEM_DIALOG2	Experienta : %.2f%%
PETSYSTEM_DIALOG3	Experienta I : %d of %d
PETSYSTEM_DIALOG4	Experienta I : %.2f%%
PETFEED_DIALOG1	Nu poti introduce iteme suprapuse.
PETFEED_DIALOG2	Selectionat %s.
PETINCUBATRICE_DIALOG1	Numele pet-ului este invalid.
PETINCUBATRICE_DIALOG2	Trebuie sa detii: %s.
PETINCUBATRICE_DIALOG3	Incubator: %s.
PETINCUBATRICE_DIALOG4	Ou Maimuta
PETINCUBATRICE_DIALOG5	Ou Paianjen
PETINCUBATRICE_DIALOG6	Ou Razador
PETINCUBATRICE_DIALOG7	Ou Nemere
PETINCUBATRICE_DIALOG8	Ou Dragon Albastru
PETINCUBATRICE_DIALOG9	Ou Dragon Rosu
PETINCUBATRICE_DIALOG10	Ou Azrael
PETINCUBATRICE_DIALOG11	Ou Boia
PETINCUBATRICE_DIALOG12	Ou Baashido
PETINCUBATRICE_DIALOG13	Ou Nessie
PETINCUBATRICE_DIALOG14	Ou Exedyar
UIMARKETSYS_DIALOG1	Spart: %d
UIMARKETSYS_DIALOG2	Cod NPC: %d
UIMARKETSYS_DIALOG3	Cod Titlu: %d
SUPPORT_DIALOG1	Sigur doresti sa stergi obiectul selectionat?
SUPPORT_DIALOG2	Trebuie mai intâi sa evocati suport-ul!
SUPPORT_DIALOG3	Nu poti introduce acest item.
SUPPORT_DIALOG4	Item-ul nu este de acelati sex!
SUPPORT_DIALOG5	Continuând, item-ul isi va pierde bonusurile. Vrei sa continuii?
PETSPECIAL_QUESTION1	Vrei sa pui pet-ul in cutie?
PETSPECIAL_QUESTION2	Vrei sa iti hranesti pet-ul?
PVP_DUEL_TIME_REMAINING	Timp ramas: [%s]
AFFECT_NEW_POTION31	Cartea Sefului
APPLY_PARTY_DROPEXP	Toti membrii grupului vor colecta cu %d%% mai multe puncte experienta.	SA
SLOTNAME_10	Item de PVM
SLOTNAME_11	Item de PVP
TOOLTIP_PETSKILL_1	rezistenta (Razboinici)
TOOLTIP_PETSKILL_2	rezistenta (Sura)
TOOLTIP_PETSKILL_3	rezistenta (Ninja)
TOOLTIP_PETSKILL_4	rezistenta (Shamani)
TOOLTIP_PETSKILL_5	Daune critice (PvM)
TOOLTIP_PETSKILL_6	Tare impotriva Pietrelor
TOOLTIP_PETSKILL_7	Tare impotriva Sefilor
TOOLTIP_PETSKILL_8	Calmare
TOOLTIP_PETSKILL_9	Drop Yang
TOOLTIP_PETSKILL_10	Valoarea atac/atac magic
TOOLTIP_PETSKILL_11	Blocheaza a. corporal
TOOLTIP_PETSKILL_12	Reflecta a. corporal
TOOLTIP_NEW_POTION30	CreSte posibilitatea de a prinde pestele cu 20% daca e un peste rar 20%.
AFFECT_NEW_POTION30	Cartea pescarului
TOOLTIP_APPLY_FISHING_RARE	Creste posibilitatea de a prin un peste rar cu %d%%	SA
TOOLTIP_ROD_FISHING	Creste posibilitatea de a prinde pestele cu %d%%.
TOOLTIP_FISH_USE_TIME	Durata: %d minut(e)
TOOLTIP_ANTIDROP	|Eemoji/anti_drop|e
TOOLTIP_ANTISAFEBOX	|Eemoji/anti_safebox|e
TOOLTIP_ANTISELL	|Eemoji/anti_sell|e
TOOLTIP_ANTISHOP	|Eemoji/anti_shop|e
SLOTNAME_1	Skin Armura
SLOTNAME_2	Skin Frizura
SLOTNAME_3	Skin Mount
SLOTNAME_4	Skin Esarfa
SLOTNAME_5	Skin Arma
SLOTNAME_6	Skin Pet
SLOTNAME_7	Mount
SLOTNAME_8	Efect Armura
SLOTNAME_9	Efect Arma
TEXT_CHANNEL	%s, CH%d
CH_99_NAME	%s, General
TOOLTIP_BONUS_UNKNOWN	Necunoscut
TOOLTIP_DUNGEON_APPLY_ATTBONUS_ANIMAL	Tare vs Animale
TOOLTIP_DUNGEON_APPLY_ATTBONUS_ORC	Tare vs Orchi
TOOLTIP_DUNGEON_APPLY_ATTBONUS_UNDEAD	Tare vs Vampiri
TOOLTIP_DUNGEON_APPLY_ATTBONUS_DEVIL	Tare vs Diavol
TOOLTIP_DUNGEON_APPLY_RESIST_FIRE	rezistenta la Foc
TOOLTIP_DUNGEON_APPLY_RESIST_ELEC	rezistenta la Fulger
TOOLTIP_DUNGEON_APPLY_RESIST_ICE	rezistenta la Gheata
TOOLTIP_DUNGEON_APPLY_RESIST_WIND	rezistenta la Vânt
TOOLTIP_DUNGEON_APPLY_RESIST_EARTH	rezistenta la Pamânt
TOOLTIP_DUNGEON_APPLY_RESIST_DARK	rezistenta la intuneric
TOOLTIP_DUNGEON_APPLY_ATTBONUS_ELEC	Puterea Focului
TOOLTIP_DUNGEON_APPLY_ATTBONUS_FIRE	Puterea Fulgerului
TOOLTIP_DUNGEON_APPLY_ATTBONUS_ICE	Puterea Ghetii
TOOLTIP_DUNGEON_APPLY_ATTBONUS_WIND	Puterea Vântului
TOOLTIP_DUNGEON_APPLY_ATTBONUS_EARTH	Puterea Pamântului
TOOLTIP_DUNGEON_APPLY_ATTBONUS_DARK	Puterea intunericului
TOOLTIP_DUNGEON_APPLY_DESIGN_1	Putere Fulger, intuneric, Gheata, Foc, Pamânt
TOOLTIP_DUNGEON_APPLY_ATTBONUS_RUNE	Tare vs monstri Rune
TOOLTIP_APPLY_DESIGN_1	Putere Fulger, intuneric, Gheata %d%%	SA
AFFECT_NEW_POTION24	Cerceii Armoniei
AFFECT_NEW_POTION25	Bratara Iubirii
AFFECT_NEW_POTION26	Cerceii Iubirii
AFFECT_NEW_POTION27	Bratara Armoniei
AFFECT_NEW_POTION28	Colierul Iubirii
AFFECT_NEW_POTION29	Colierul Armoniei
PET_TOOLTIP_LV	Nivel: %d
PET_TOOLTIP_BNS1	PV: +%s%%
PET_TOOLTIP_BNS2	Tare vs Monstrii: +%s%%
PET_TOOLTIP_BNS3	Paguba medie [PVM]: +%s%%
DS_TIME_CHARGE	Timp ramas: %d%% (sec %d) din %d%% (sec %d)
BIOLOGIST_ALERT2	Trebuie sa ridici recompensa pentru a putea continua.
BIOLOGIST_ALERT3	Ai completat misiunea, acum iti poti ridica recompensa.
BIOLOGIST_ALERT4	Pentru a putea ritira recompensa trebuie mai intâi sa completezi misiunea.
BIOLOGIST_CONFIRM_TYPE1	Sigur vrei sa accepti bonusul selectat?
BIOLOGIST_ALERT_TYPE1	Trebuie sa alegi unul dintre bonusuri pentru a putea continua.
BIOLOGIST_REWARD_TYPE0	Vei primi urmatoarele bonusuri:
BIOLOGIST_REWARD_TYPE1	Va trebuii sa alegi unul din urmatoarele bonusuri:
BIOLOGIST_WAIT_FINISH	Timpul de asteptare al biologului a luat sfârsit.
BIOLOGIST_WAIT	Urmatoarea livrare: %s
BIOLOGIST_COUNT	%d/%d
BIOLOGIST_MISSION_NAME_1	Dintii de Orc
BIOLOGIST_MISSION_NAME_2	Cartile Blestemate
BIOLOGIST_MISSION_NAME_3	Suvenirele Demonilor
BIOLOGIST_MISSION_NAME_4	Globurile de Gheata
BIOLOGIST_MISSION_NAME_5	Crengile Zelkova
BIOLOGIST_MISSION_NAME_6	Tablitele Tugyi
BIOLOGIST_MISSION_NAME_7	Crengile Copacilor F. Rosii
BIOLOGIST_MISSION_NAME_8	Insemnele Liderilor
BIOLOGIST_MISSION_NAME_9	Bijuteriile Invidiei
BIOLOGIST_MISSION_NAME_10	Bijuteriile intelepciunii
BIOLOGIST_MISSION_NAME_11	Ferigile intunecate
BIOLOGIST_MISSION_NAME_12	Inelele lui Chaegirab
BIOLOGIST_MISSION_NAME_13	Cristalele Metin
BIOLOGIST_MISSION_NAME_14	Nucleele Purificate
PETBOX_RIMUOVE	Sigur doresti sa scoti pet-ul?
BUY_GAYA_ITEM	Doresti sa cumperi acest item?
PETSKILLNAME_1	rezistenta (Razboinici)
PETSKILLNAME_2	rezistenta (Sura)
PETSKILLNAME_3	rezistenta (Ninja)
PETSKILLNAME_4	rezistenta (Shamani)
PETSKILLNAME_5	Daune critice (PvM)
PETSKILLNAME_6	Tare impotriva Pietrelor
PETSKILLNAME_7	Tare impotriva Sefilor
PETSKILLNAME_8	Drop EXP
PETSKILLNAME_9	Drop Yang
PETSKILLNAME_10	Valoarea atac/atac magic
PETSKILLNAME_11	Blocheaza a. corporal
PETSKILLNAME_12	Reflecta a. corporal
PETBOX_DESC1	Caracteristici:
PETBOX_DESC2	Vârsta: %d zile, %d ore si %d minute
PETBOX_DESC3	Nivel: %d
PETBOX_DESC4	Evolutie: %s
PETBOX_DESC5	PV: %s%%
PETBOX_DESC6	Tare vs monstrii: %s%%
PETBOX_DESC7	Paguba medie [PVM]: %s%%
PETBOX_DESC8A	Slot skill 1: blocat
PETBOX_DESC9A	Slot skill 2: blocat
PETBOX_DESC10A	Slot skill 3: blocat
PETBOX_DESC11A	Slot skill 4: blocat
PETBOX_DESC8B	Slot skill 1: gol
PETBOX_DESC9B	Slot skill 2: gol
